L0-1001,我,我,wǒ,N,
L0-1002,你/妳,你,nǐ,N,"[{""Traditional"": ""你"", ""Simplified"": ""你"", ""Pinyin"": ""nǐ""}, {""Traditional"": ""妳"", ""Simplified"": ""你"", ""Pinyin"": ""nǐ""}]"
L0-1003,他/她,他/她,tā,N,"[{""Traditional"": ""他"", ""Simplified"": ""他"", ""Pinyin"": ""tā""}, {""Traditional"": ""她"", ""Simplified"": ""她"", ""Pinyin"": ""tā""}]"
L0-1004,我們,我们,wǒmen,N,
L0-1005,你們/妳們,你们,nǐmen,N,"[{""Traditional"": ""你們"", ""Simplified"": ""你们"", ""Pinyin"": ""nǐmen""}, {""Traditional"": ""妳們"", ""Simplified"": ""你们"", ""Pinyin"": ""nǐmen""}]"
L0-1006,他們/她們,他们/她们,tāmen,N,"[{""Traditional"": ""他們"", ""Simplified"": ""他们"", ""Pinyin"": ""tāmen""}, {""Traditional"": ""她們"", ""Simplified"": ""她们"", ""Pinyin"": ""tāmen""}]"
L0-1007,您,您,nín,N,
L0-1008,誰,谁,shéi,N,
L0-1009,姓名,姓名,xìngmíng,N,
L0-1010,人,人,rén,N,
L0-1011,國,国,guó,N,
L0-1012,中國,中国,Zhōngguó,N,
L0-1013,美國,美国,Měiguó,N,
L0-1014,日本,日本,Rìběn,N,
L0-1015,台灣/臺灣,台湾,Táiwān,N,"[{""Traditional"": ""台灣"", ""Simplified"": ""台湾"", ""Pinyin"": ""Táiwān""}, {""Traditional"": ""臺灣"", ""Simplified"": ""台湾"", ""Pinyin"": ""Táiwān""}]"
L0-1016,名字,名字,míngzi,N,
L0-1017,家,家,jiā,N,
L0-1018,電話,电话,diànhuà,N,
L0-1019,時間,时间,shíjiān,N,
L0-1020,小時,小时,xiǎoshí,N,
L0-1021,現在,现在,xiànzài,N,
L0-1022,今年,今年,jīnnián,N,
L0-1023,今天,今天,jīntiān,N,
L0-1024,明天,明天,míngtiān,N,
L0-1025,昨天,昨天,zuótiān,N,
L0-1026,早上,早上,zǎoshàng,N,
L0-1027,上午,上午,shàngwǔ,N,
L0-1028,中午,中午,zhōngwǔ,N,
L0-1029,下午,下午,xiàwǔ,N,
L0-1030,晚上,晚上,wǎnshàng,N,
L0-1031,一,一,yī,N,
L0-1032,二,二,èr,N,
L0-1033,三,三,sān,N,
L0-1034,四,四,sì,N,
L0-1035,五,五,wǔ,N,
L0-1036,六,六,liù,N,
L0-1037,七,七,qī,N,
L0-1038,八,八,bā,N,
L0-1039,九,九,jiǔ,N,
L0-1040,十,十,shí,N,
L0-1041,兩,两,liǎng,N,
L0-1042,時候,时候,shíhòu,N,
L0-1043,百,百,bǎi,N,
L0-1044,半,半,bàn,N,
L0-1045,千,千,qiān,N,
L0-1046,爸爸/爸,爸爸/爸,bàba/bà,N,"[{""Traditional"": ""爸爸"", ""Simplified"": ""爸爸"", ""Pinyin"": ""bàba""}, {""Traditional"": ""爸"", ""Simplified"": ""爸"", ""Pinyin"": ""bà""}]"
L0-1047,媽媽/媽,妈妈/妈,māma/mā,N,"[{""Traditional"": ""媽媽"", ""Simplified"": ""妈妈"", ""Pinyin"": ""māma""}, {""Traditional"": ""媽"", ""Simplified"": ""妈"", ""Pinyin"": ""mā""}]"
L0-1048,哥哥/哥,哥哥/哥,gēge/gē,N,"[{""Traditional"": ""哥哥"", ""Simplified"": ""哥哥"", ""Pinyin"": ""gēge""}, {""Traditional"": ""哥"", ""Simplified"": ""哥"", ""Pinyin"": ""gē""}]"
L0-1049,弟弟/弟,弟弟/弟,dìdi/dì,N,"[{""Traditional"": ""弟弟"", ""Simplified"": ""弟弟"", ""Pinyin"": ""dìdi""}, {""Traditional"": ""弟"", ""Simplified"": ""弟"", ""Pinyin"": ""dì""}]"
L0-1050,姊姊/姐姐/姊/姐,姊姊/姐姐/姊/姐,jiějie/jiě,N,"[{""Traditional"": ""姊姊"", ""Simplified"": ""姊姊"", ""Pinyin"": ""jiějie""}, {""Traditional"": ""姐姐"", ""Simplified"": ""姐姐"", ""Pinyin"": ""jiějie""}, {""Traditional"": ""姊"", ""Simplified"": ""姊"", ""Pinyin"": ""jiě""}, {""Traditional"": ""姐"", ""Simplified"": ""姐"", ""Pinyin"": ""jiě""}]"
L0-1051,妹妹/妹,妹妹/妹,mèimei/mèi,N,"[{""Traditional"": ""妹妹"", ""Simplified"": ""妹妹"", ""Pinyin"": ""mèimei""}, {""Traditional"": ""妹"", ""Simplified"": ""妹"", ""Pinyin"": ""mèi""}]"
L0-1052,小孩(子),小孩(子),xiǎohái(zi),N,"[{""Traditional"": ""小孩"", ""Simplified"": ""小孩"", ""Pinyin"": ""xiǎohái""}, {""Traditional"": ""小孩子"", ""Simplified"": ""小孩子"", ""Pinyin"": ""xiǎoháizi""}]"
L0-1053,的,的,de,Ptc,
L0-1054,第,第,dì,Det,
L0-1055,分,分,fēn,M,
L0-1056,點,点,diǎn,M,
L0-1057,個,个,ge,M,
L0-1058,歲,岁,suì,M,
L0-1059,年,年,nián,M,
L0-1060,住,住,zhù,V,
L0-1061,來,来,lái,V,
L0-1062,是,是,shì,Vst,
L0-1063,姓,姓,xìng,Vst,
L0-1064,覺得,觉得,juéde,Vst,
L0-1065,喜歡,喜欢,xǐhuān,Vst,
L0-1066,打電話,打电话,dǎ diànhuà,Vi,
L0-1067,漂亮,漂亮,piàoliàng,Vs,
L0-1068,高,高,gāo,Vs,
L0-1069,老,老,lǎo,Vs,
L0-1070,好,好,hǎo,Adv,
L0-1071,很,很,hěn,Adv,
L0-1072,真,真,zhēn,Adv,
L0-1073,電腦,电脑,diànnǎo,N,
L0-1074,老師,老师,lǎoshī,N,
L0-1075,買,买,mǎi,V,
L0-1076,忙,忙,máng,Vs,
L0-1077,學生,学生,xuéshēng,N,
L0-1078,大學,大学,dàxué,N,
L0-1079,學校,学校,xuéxiào,N,
L0-1080,中文,中文,Zhōngwén,N,
L0-1081,同學,同学,tóngxué,N,
L0-1082,字,字,zì,N,
L0-1083,筆,笔,bǐ,N,
L0-1084,學,学,xué,V,
L0-1085,問,问,wèn,V,
L0-1086,說,说,shuō,V,
L0-1087,寫,写,xiě,V,
L0-1088,聽,听,tīng,V,
L0-1089,對,对,duì,Vs,
L0-1090,能,能,néng,Vaux,
L0-1091,可以,可以,kěyǐ,Vaux,
L0-1092,上課,上课,shàngkè,V-sep,
L0-1093,知道,知道,zhīdào,Vst,
L0-1094,電視(機),电视(机),diànshì(jī),N,"[{""Traditional"": ""電視"", ""Simplified"": ""电视"", ""Pinyin"": ""diànshì""}, {""Traditional"": ""電視機"", ""Simplified"": ""电视机"", ""Pinyin"": ""diànshìjī""}]"
L0-1095,水,水,shuǐ,N,
L0-1096,久,久,jiǔ,Vs-pred,
L0-1097,早,早,zǎo,Vs,
L0-1098,再,再,zài,Adv,
L0-1099,書,书,shū,N,
L0-1100,電影,电影,diànyǐng,N,
L0-1101,以前,以前,yǐqián,N,
L0-1102,以後,以后,yǐhòu,N,
L0-1103,走,走,zǒu,V,
L0-1104,等,等,děng,V,
L0-1105,看,看,kàn,V,
L0-1106,就,就,jiù,Adv,
L0-1107,什麼/甚麼,什么,shénme,N,"[{""Traditional"": ""什麼"", ""Simplified"": ""什么"", ""Pinyin"": ""shénme""}, {""Traditional"": ""甚麼"", ""Simplified"": ""什么"", ""Pinyin"": ""shénme""}]"
L0-1108,朋友,朋友,péngyǒu,N,
L0-1109,東西,东西,dōngxi,N,
L0-1110,吧,吧,ba,Ptc,
L0-1111,呢,呢,ne,Ptc,
L0-1112,嗎,吗,ma,Ptc,
L0-1113,找,找,zhǎo,V,
L0-1114,做,做,zuò,V,
L0-1115,再見,再见,zàijiàn,Vi,
L0-1116,怎麼樣,怎么样,zěnmeyàng,Vs,
L0-1117,叫,叫,jiào,Vst/V,
L0-1118,謝謝,谢谢,xièxie,Vst,
L0-1119,對不起,对不起,duìbùqǐ,,
L0-1120,請問,请问,qǐngwèn,,
L0-1121,這,这,zhè,Det,
L0-1122,那,那,nà,Det,
L0-1123,公共汽車/公車,公共汽车/公车,gōnggòngqìchē/gōngchē,N,"[{""Traditional"": ""公共汽車"", ""Simplified"": ""公共汽车"", ""Pinyin"": ""gōnggòngqìchē""}, {""Traditional"": ""公車"", ""Simplified"": ""公车"", ""Pinyin"": ""gōngchē""}]"
L0-1124,車(子),车(子),chē(zi),N,"[{""Traditional"": ""車子"", ""Simplified"": ""车子"", ""Pinyin"": ""chēzi""}, {""Traditional"": ""車"", ""Simplified"": ""车"", ""Pinyin"": ""chē""}]"
L0-1125,到,到,dào,V,
L0-1126,去,去,qù,V,
L0-1127,回,回,huí,V,
L0-1128,坐,坐,zuò,Vi,
L0-1129,這裡/這裏/這兒,这里/这里/这儿,zhèlǐ/zhèr,N,"[{""Traditional"": ""這裡"", ""Simplified"": ""这里"", ""Pinyin"": ""zhèlǐ""}, {""Traditional"": ""這裏"", ""Simplified"": ""这里"", ""Pinyin"": ""zhèlǐ""}, {""Traditional"": ""這兒"", ""Simplified"": ""这儿"", ""Pinyin"": ""zhèr""}]"
L0-1130,那裡/那裏/那兒,那里/那里/那儿,nàlǐ/nàr,N,"[{""Traditional"": ""那裡"", ""Simplified"": ""那里"", ""Pinyin"": ""nàlǐ""}, {""Traditional"": ""那裏"", ""Simplified"": ""那里"", ""Pinyin"": ""nàlǐ""}, {""Traditional"": ""那兒"", ""Simplified"": ""那儿"", ""Pinyin"": ""nàr""}]"
L0-1131,哪裡/哪裏/哪兒,哪里/哪里/哪儿,nǎlǐ/nǎr,N,"[{""Traditional"": ""哪裡"", ""Simplified"": ""哪里"", ""Pinyin"": ""nǎlǐ""}, {""Traditional"": ""哪裏"", ""Simplified"": ""哪里"", ""Pinyin"": ""nǎlǐ""}, {""Traditional"": ""哪兒"", ""Simplified"": ""哪儿"", ""Pinyin"": ""nǎr""}]"
L0-1132,開車,开车,kāichē,V-sep,
L0-1133,錢,钱,qián,N,
L0-1134,多少,多少,duōshǎo,N,
L0-1135,給,给,gěi,V,
L0-1136,貴,贵,guì,Vs,
L0-1137,便宜,便宜,piányí,Vs,
L0-1138,大,大,dà,Vs,
L0-1139,小,小,xiǎo,Vs,
L0-1140,難,难,nán,Vs,
L0-1141,容易,容易,róngyì,Vs,
L0-1142,有,有,yǒu,Vst,
L0-1143,想,想,xiǎng,Vst,
L0-1144,幾,几,jǐ,Det,
L0-1145,塊,块,kuài,M,
L0-1146,位,位,wèi,M,
L0-1147,飯,饭,fàn,N,
L0-1148,吃,吃,chī,V,
L0-1149,請,请,qǐng,V,
L0-1150,也,也,yě,Adv,
L0-1151,不,不,bù,Adv,
L0-1152,沒,没,méi,Adv,
L0-1153,都,都,dōu,Adv,
L0-1154,只,只,zhǐ,Adv,
L0-1155,可是,可是,kěshì,Conj,
L0-1156,還是,还是,háishì,Conj,
L0-1157,了,了,le,Ptc,
L0-1158,得,得,de,Ptc,
L0-1159,過,过,guò,Ptc,
L0-1160,沒有,没有,méiyǒu,Ptc,
